                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5411,                 5.3247,                 1.0916,                 0.0004,                0.13333,                0.00028,                  7e-05,                 1.3809,                 5.1691,                 1.1472,                 0.0955,                 0.0005,                 0.0005
                      1,                 1.4323,                 4.7409,                0.98189,                0.00036,                0.13333,                0.00025,                0.00012,                  1.217,                 4.8667,                 1.0049,               0.090064,              0.0010637,              0.0010637
                      2,                 1.3029,                  3.561,                0.98802,                0.00036,                0.13333,                0.00025,                0.00012,                 1.1961,                 4.7125,                0.93544,               0.084588,              0.0015878,              0.0015878
                      3,                 1.4317,                 2.5269,                  1.076,                0.00076,                0.26667,                0.00058,                0.00034,                 1.3853,                 4.6731,                0.98969,               0.079072,              0.0020723,              0.0020723
                      4,                 1.3455,                 2.4089,                 1.0362,                0.00206,                0.57143,                0.00168,                0.00101,                 1.2325,                 4.6704,                0.98275,               0.073517,              0.0025172,              0.0025172
                      5,                  1.315,                 2.3693,                  1.008,                0.00276,                0.77143,                0.00246,                 0.0016,                  1.124,                 4.6021,                0.95334,               0.067922,              0.0029225,              0.0029225
                      6,                 1.2888,                 2.1325,                0.99736,                0.00246,                0.72381,                0.00213,                0.00127,                 1.2286,                 4.5156,                0.98684,               0.062288,              0.0032882,              0.0032882
                      7,                 1.2365,                 2.0051,                0.95183,                 0.0022,                0.67619,                0.00248,                0.00129,                 1.2659,                 4.4794,                0.98612,               0.056614,              0.0036143,              0.0036143
                      8,                 1.4136,                  2.033,                 1.0195,                0.00236,                0.72381,                0.19915,                0.11694,                  1.211,                  4.291,                0.97323,               0.050901,              0.0039008,              0.0039008
                      9,                 1.3082,                 2.1017,                0.97708,                0.00299,                0.88571,                0.33816,                0.22214,                 1.2235,                  4.099,                0.96633,               0.045148,              0.0041477,              0.0041477
                     10,                   1.27,                 2.1768,                 0.9439,                0.00319,                0.93333,                0.48143,                0.28013,                 1.3347,                 4.0389,                0.97548,               0.039355,               0.004355,               0.004355
                     11,                 1.2405,                 1.7666,                 1.0039,                0.00338,                      1,                0.55448,                0.28686,                 1.2215,                 3.8167,                0.95192,               0.033523,              0.0045227,              0.0045227
                     12,                 1.2918,                 1.8016,                0.98414,                0.77083,                0.38095,                 0.6579,                0.38047,                 1.2798,                 3.6513,                 0.9478,               0.027651,              0.0046508,              0.0046508
                     13,                 1.1673,                  1.896,                0.94537,                0.56124,                0.41937,                0.66017,                0.43056,                 1.3502,                 3.6876,                0.97324,               0.021739,              0.0047393,              0.0047393
                     14,                 1.2527,                 1.4963,                0.99116,                0.55578,                 0.6091,                0.71919,                0.40268,                 1.3751,                 3.4982,                0.95798,               0.015788,              0.0047882,              0.0047882
                     15,                 1.2864,                 1.6455,                0.95134,                      1,                  0.182,                0.66067,                0.40084,                 1.2421,                 3.6045,                0.94866,              0.0097975,              0.0047975,              0.0047975
                     16,                 1.2656,                 1.7024,                0.97758,                0.00337,                      1,                0.76817,                0.40943,                  1.612,                 3.4363,                 1.0607,                0.00472,                0.00472,                0.00472
                     17,                 1.2367,                 1.5188,                0.97754,                0.55197,                0.30117,                0.55354,                0.39735,                 1.4815,                 3.6296,                 1.0356,                0.00472,                0.00472,                0.00472
                     18,                 1.1434,                 1.5636,                0.99022,                0.00317,                0.93333,                0.54732,                0.30019,                 1.6673,                 3.4735,                 1.1099,                0.00439,                0.00439,                0.00439
                     19,                 1.1638,                 1.6029,                0.96477,                0.95477,                 0.5647,                0.79497,                0.50815,                 1.3694,                 2.7406,                 1.0143,                0.00406,                0.00406,                0.00406
                     20,                 1.0905,                 1.6217,                 1.0032,                0.95711,                0.52555,                0.78914,                0.46067,                 1.5079,                  2.859,                 1.1079,                0.00373,                0.00373,                0.00373
                     21,                 1.1365,                 1.6611,                0.99679,                0.52153,                0.52174,                0.74748,                0.41371,                 1.5007,                 2.8841,                 1.0606,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.1194,                 1.5613,                 1.0015,                0.58788,                0.75238,                0.74664,                0.44863,                 1.2535,                 2.4749,                0.97113,                0.00307,                0.00307,                0.00307
                     23,                 1.1073,                 1.5691,                 1.0097,                0.68685,                0.88571,                 0.7527,                0.48226,                 1.1818,                 2.2422,                0.95638,                0.00274,                0.00274,                0.00274
                     24,                 1.0894,                 1.4856,                 0.9831,                0.67485,                0.77119,                0.78767,                0.52618,                 1.2001,                 2.4712,                0.96827,                0.00241,                0.00241,                0.00241
                     25,                  1.077,                 1.4299,                0.95232,                0.68716,                0.80048,                0.76684,                0.54021,                 1.2021,                 2.3495,                0.98726,                0.00208,                0.00208,                0.00208
                     26,                 1.0386,                 1.4595,                0.96973,                0.66235,                0.93333,                0.80306,                0.57149,                 1.1649,                 1.8846,                0.95891,                0.00175,                0.00175,                0.00175
                     27,                 1.1228,                 1.4406,                0.99677,                0.75796,                0.84937,                0.80889,                0.58236,                 1.1569,                 1.8687,                0.94486,                0.00142,                0.00142,                0.00142
                     28,                 1.0604,                 1.4224,                0.96234,                0.87603,                 0.7871,                0.86509,                 0.6054,                  1.211,                 1.8572,                0.95255,                0.00109,                0.00109,                0.00109
                     29,                 1.0298,                 1.3594,                0.97291,                0.85178,                    0.8,                0.84556,                 0.5905,                 1.2174,                 1.7777,                 0.9519,                0.00076,                0.00076,                0.00076
