                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5594,                 5.7512,                 1.1155,                 0.0002,                0.06667,                0.00012,                  1e-05,                 1.3766,                 5.1795,                 1.1557,                 0.0955,                 0.0005,                 0.0005
                      1,                 1.3801,                 5.1912,                0.98003,                0.00055,                    0.2,                0.00046,                0.00033,                 1.2243,                 4.8414,                0.98594,               0.089991,              0.0009911,              0.0009911
                      2,                 1.3386,                  4.631,                0.97361,                0.00055,                    0.2,                0.00046,                0.00033,                 1.2579,                 4.8076,                0.98466,               0.084363,              0.0013634,              0.0013634
                      3,                 1.3021,                 3.8223,                 1.0262,                0.00038,                0.11429,                0.00022,                0.00017,                 1.1459,                 4.6521,                0.95861,               0.078617,              0.0016169,              0.0016169
                      4,                 1.3942,                 3.2046,                 1.1041,                0.00038,                0.11429,                0.00022,                0.00017,                 1.1369,                 4.6073,                 0.9458,               0.072752,              0.0017516,              0.0017516
                      5,                 1.2557,                 2.7477,                  1.029,                0.00018,                0.04762,                0.00011,                0.00011,                 1.0682,                  4.574,                0.97244,               0.066768,              0.0017675,              0.0017675
                      6,                 1.1586,                 2.5799,                 1.0385,                0.00018,                0.06667,                0.00011,                  6e-05,                 1.2211,                 4.5271,                 1.0181,               0.060665,              0.0016646,              0.0016646
                      7,                 1.1352,                 2.3253,                 0.9931,                0.00018,                0.04762,                0.00075,                 0.0006,                 1.2704,                 4.4644,                 1.0254,               0.054443,              0.0014429,              0.0014429
                      8,                 1.1757,                  2.155,                 1.0059,                0.00078,                0.22857,                0.00056,                0.00028,                 1.1982,                 4.3806,                0.99502,               0.048102,              0.0011024,              0.0011024
                      9,                 1.1326,                 2.1445,                0.99453,                0.00085,                0.26667,                0.03397,                0.01864,                 1.1484,                  4.302,                0.97956,               0.041643,              0.0006431,              0.0006431
